sail_key,state,oig_report_no,classification,summary_note
AMARILLO,TX,14-02890-152,A,"Amarillo Endoscopy paper tracking systems were determined to be legitimate operational tools; however, an employee at Lubbock OPC reported desired-date substitution practices linked to prior supervisory instruction, creating evidence of improper scheduling behavior without broader corroboration of systemic manipulation."
AMERICANLAKE,WA,14-02890-229,A,Fabricated veteran contact-date concerns suggested problematic documentation practices but not fully substantiated fraud.
BATTLECREEK,MI,14-02890-228,N,Retroactive appointment creation reflected documentation of same-day outreach encounters rather than concealment.
BAYPINES,FL,14-02890-133,S,OIG concluded N but schedulers admitted desired-date substitution; upgraded on evidentiary grounds
BOISE,ID,14-02890-233,N,Consult delays stemmed from provider shortages; consult closures and EWL usage followed policy.
BROOKLYN,NY,14-02890-190,N,Radiology no-show cancellation practices followed legacy guidance and were not found to constitute manipulation.
CENTRALIOWA,IA,wait-times-14-02890-122,N,Tracking spreadsheets were known to management and used operationally for continuity of care; OIG did not substantiate concealment or intentional wait-time manipulation.
DALLAS,TX,14-02890-138,A,"Fort Worth OPC staff confirmed scheduling practices inconsistent with VHA Directive requirements, including desired-date handling problems; however, evidence suggested systemic training and VistA workflow confusion, and management had begun corrective actions prior to investigation."
DANVILLE,IL,14-02890-174,S,Weekly over-14-day scheduling reports were circulated and multiple MSAs confirmed routine zeroing-out practices; at least one employee reported explicit instruction to manipulate desired dates while another described an implied coercive environment with feared repercussions for noncompliance.
DENVER,CO,14-02890-214,N,OIG did not substantiate destruction of wait-list information; operational transition issues predominated.
ELPASO,TX,14-02890-137,S,"OIG identified desired-date substitution practices in which negotiated or next-available appointment dates were entered instead of veterans? true requested dates, producing artificially reduced wait times."
FORTWORTH,TX,14-02890-156,A,"Pressure existed to use next available dates and optimize scheduling metrics, though evidence of organized fraud was limited."
GAINESVILLE,FL,14-02890-135;14-02890-143,S,"Although initial findings emphasized operational scheduling deficiencies, subsequent evidence tied to Tallahassee OPC identified directed manipulation, post-Phoenix concealment behavior, and witness intimidation under the Gainesville administrative structure."
GRANDJUNCTION,CO,14-02890-215,N,Spreadsheet tracking was validated as an operational VISN-supported process tool.
HARLINGEN,TX,wait-times-14-02890-165,S,"OIG identified systematic ?backing out? scheduling methods, suppression of EWL use, and fabricated access metrics sustained through improper staff training until corrective scheduling enforcement began in January 2014; findings were referred to VA Accountability Review."
HINES,IL,14-02890-180,S,Excel tracking systems created the appearance of 14-day compliance while veterans waited substantially longer.
HONOLULU,HI,14-02890-157,N,"Scheduling errors and shortages existed, but intentional manipulation was not substantiated."
HOUSTON,TX,wait-times-14-02890-163,S,Schedulers were trained to use appointment dates as desired dates to create zero-day waits.
